feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Atp5l,Group,0.0137,0.0871,0.8727,-0.1965,DESeq2,DMSO vs T4400
Atp5o,Group,0,0.0018,0.8107,-0.3027,DESeq2,DMSO vs T4400
Atp5s,Group,0.4579,0.7123,1.0757,0.1052,DESeq2,DMSO vs T4400
Atp5sl,Group,0.4073,0.674,1.0538,0.0756,DESeq2,DMSO vs T4400
Atp6ap1,Group,0.0077,0.0597,1.217,0.2833,DESeq2,DMSO vs T4400
Atp6ap2,Group,0.0419,0.1788,1.0966,0.133,DESeq2,DMSO vs T4400
Atp6v0a1,Group,0.5701,0.789,1.0289,0.0412,DESeq2,DMSO vs T4400
Atp6v0a2,Group,0.9237,0.9691,1.0052,0.0075,DESeq2,DMSO vs T4400
Atp6v0a4,Group,0.9444,0.9762,0.9238,-0.1143,DESeq2,DMSO vs T4400
Atp6v0b,Group,0.0088,0.0651,1.2537,0.3262,DESeq2,DMSO vs T4400
Atp6v0c,Group,0.8577,0.9473,1.3893,0.4743,DESeq2,DMSO vs T4400
Atp6v0d1,Group,0.5895,0.8034,1.0315,0.0448,DESeq2,DMSO vs T4400
Atp6v0d2,Group,0.2342,0.5062,3.6255,1.8582,DESeq2,DMSO vs T4400
Atp6v0e,Group,0.0857,0.2779,1.0953,0.1314,DESeq2,DMSO vs T4400
Atp6v0e2,Group,0.2223,0.4918,1.1044,0.1433,DESeq2,DMSO vs T4400
Atp6v1a,Group,0.0079,0.0607,1.1943,0.2562,DESeq2,DMSO vs T4400
Atp6v1b2,Group,0.0009,0.0162,1.2998,0.3783,DESeq2,DMSO vs T4400
Atp6v1c1,Group,0.0023,0.0282,1.1863,0.2465,DESeq2,DMSO vs T4400
Atp6v1c2,Group,0.0513,0.2039,0.3302,-1.5984,DESeq2,DMSO vs T4400
Atp6v1d,Group,0.3564,0.6305,1.055,0.0773,DESeq2,DMSO vs T4400
Atp6v1e1,Group,0.4179,0.6817,1.047,0.0663,DESeq2,DMSO vs T4400
Atp6v1e2,Group,0.4113,0.6765,0.3387,-1.5618,DESeq2,DMSO vs T4400
Atp6v1f,Group,0.016,0.0965,1.2185,0.2851,DESeq2,DMSO vs T4400
Atp6v1g1,Group,0.8058,0.9254,0.9873,-0.0184,DESeq2,DMSO vs T4400
Atp6v1g2,Group,0.2101,0.4759,1.1885,0.2491,DESeq2,DMSO vs T4400
Atp6v1h,Group,0.1325,0.3615,1.1109,0.1518,DESeq2,DMSO vs T4400
Atp7a,Group,0.0974,0.3016,1.225,0.2928,DESeq2,DMSO vs T4400
Atp7b,Group,0.7726,0.9045,1.1804,0.2393,DESeq2,DMSO vs T4400
Atp8a1,Group,0.3886,0.6576,0.5676,-0.8171,DESeq2,DMSO vs T4400
Atp8a2,Group,0.7929,0.9169,1.2683,0.3429,DESeq2,DMSO vs T4400
Atp8b1,Group,0.6282,0.8286,1.0554,0.0778,DESeq2,DMSO vs T4400
Atp8b2,Group,0.4929,0.7368,1.0322,0.0458,DESeq2,DMSO vs T4400
Atp8b3,Group,0.3541,0.6301,0.6269,-0.6736,DESeq2,DMSO vs T4400
Atp8b4,Group,0.0141,0.089,1.8461,0.8845,DESeq2,DMSO vs T4400
Atp8b5,Group,0.5188,0.7543,1.2918,0.3693,DESeq2,DMSO vs T4400
Atp9a,Group,0.4347,0.6937,0.8664,-0.207,DESeq2,DMSO vs T4400
Atp9b,Group,0.3146,0.5929,1.0449,0.0633,DESeq2,DMSO vs T4400
Atpaf1,Group,0.0521,0.2053,0.8769,-0.1895,DESeq2,DMSO vs T4400
Atpaf2,Group,0.2671,0.5455,0.9454,-0.081,DESeq2,DMSO vs T4400
Atpif1,Group,0.0059,0.0505,0.8609,-0.2162,DESeq2,DMSO vs T4400
Atr,Group,0.2584,0.5356,1.1753,0.233,DESeq2,DMSO vs T4400
Atraid,Group,0.724,0.8768,0.9766,-0.0342,DESeq2,DMSO vs T4400
Atrip,Group,0.4336,0.6928,0.9427,-0.0851,DESeq2,DMSO vs T4400
Atrn,Group,0.0003,0.0076,1.189,0.2497,DESeq2,DMSO vs T4400
Atrnl1,Group,0,0.0024,1.4896,0.5749,DESeq2,DMSO vs T4400
Atrx,Group,0.0004,0.0095,1.4517,0.5377,DESeq2,DMSO vs T4400
Atxn1,Group,0.3686,0.6393,1.1214,0.1653,DESeq2,DMSO vs T4400
Atxn10,Group,0.0015,0.0217,0.8766,-0.19,DESeq2,DMSO vs T4400
Atxn1l,Group,0.3987,0.6668,0.9624,-0.0553,DESeq2,DMSO vs T4400
Atxn2,Group,0.8119,0.9284,0.9884,-0.0168,DESeq2,DMSO vs T4400
Atxn2l,Group,0.127,0.3526,1.1019,0.1399,DESeq2,DMSO vs T4400
Atxn3,Group,0.3221,0.6009,1.0942,0.1298,DESeq2,DMSO vs T4400
Atxn7,Group,0.0234,0.1234,1.3109,0.3905,DESeq2,DMSO vs T4400
Atxn7l1,Group,0.7172,0.8758,1.0209,0.0299,DESeq2,DMSO vs T4400
Atxn7l1os2,Group,0.6148,0.8195,0.7128,-0.4884,DESeq2,DMSO vs T4400
Atxn7l2,Group,0.6078,0.8151,0.9604,-0.0583,DESeq2,DMSO vs T4400
Atxn7l3,Group,0.8242,0.9343,0.9913,-0.0126,DESeq2,DMSO vs T4400
Atxn7l3b,Group,0.9327,0.9723,0.9964,-0.0052,DESeq2,DMSO vs T4400
AU015791,Group,0.4193,0.6828,0.6215,-0.6862,DESeq2,DMSO vs T4400
AU015836,Group,0.9789,0.9898,1.0262,0.0373,DESeq2,DMSO vs T4400
AU018091,Group,0.5578,0.7809,1.0728,0.1014,DESeq2,DMSO vs T4400
AU019823,Group,0.1592,0.4036,1.0889,0.1229,DESeq2,DMSO vs T4400
AU021092,Group,0.5808,0.7974,1.1527,0.205,DESeq2,DMSO vs T4400
AU022252,Group,0.8476,0.9464,0.9901,-0.0143,DESeq2,DMSO vs T4400
AU023762,Group,0.4505,0.7055,0.3933,-1.3461,DESeq2,DMSO vs T4400
AU040320,Group,0.0281,0.1391,1.1452,0.1956,DESeq2,DMSO vs T4400
AU041133,Group,0.19,0.4487,1.2364,0.3061,DESeq2,DMSO vs T4400
Auh,Group,0.0156,0.0947,1.265,0.3391,DESeq2,DMSO vs T4400
Aunip,Group,0.0013,0.0205,0.4799,-1.0593,DESeq2,DMSO vs T4400
